robotic_arm_id,start_date,temperature,vibration,torque,pressure,volt,rotate
84,2023-06-28,63.61273014096416,48.372263753270744,51.67418328091636,30.400632146888164,190.3691500255593,1360.428646742239
61,2025-05-02,66.42406266118557,48.55713299255506,59.34670383014411,25.436734087618454,223.34686997989743,1042.9283627327677
44,2024-02-12,74.0736528336341,40.50386588267915,77.72238144805604,32.81987323741388,223.73640485045425,1898.6752874284891
3,2023-07-08,79.81255654363544,46.94801980740098,46.549340159011166,35.04778418373906,220.6690377866851,1229.6686456750676
1,2025-12-15,86.3496548767868,45.69520782149411,,23.92512826493509,227.5682366057943,1475.7772818726635
88,2023-12-23,95.53511900021505,50.073132720750245,56.730057018483045,32.73164458630535,211.76119901644117,1438.7603443916155
35,2023-09-29,80.83673912949453,50.97715341649324,51.51682799043483,29.281138741303568,216.5857123123308,1484.4880369697712
77,2025-04-30,80.27994278259132,55.337959073348415,60.52417367767173,32.73622377406596,238.0721850735424,1523.2926920597947
53,2025-06-16,,56.59334712832502,37.932492336841655,28.54696270112863,214.49472296268024,1491.0512108669054
108,2025-10-04,92.41198226421633,53.3929957767497,80.22816339447965,26.67655052282507,232.7026819351455,1948.12928603204
42,2025-12-28,88.5256537659448,57.205629036264284,48.4469548412504,29.461797101877135,204.02312371840887,1625.3225840868058
23,2025-09-13,98.42450849907928,65.0601443300407,54.09556665936552,26.172654921888352,242.73253920692937,1972.810134453255
56,2025-09-15,70.72538203291208,76.80719318972496,83.90920585277495,26.399319396105884,230.02155635651485,1604.1777275610245
73,2025-02-04,58.49694305507407,35.74728315310211,72.65029149674618,29.311539405478587,223.29391184298777,1194.0332131201235
69,2025-10-01,73.77646142566603,51.35940847067405,81.38509251064887,27.88013448709994,205.73976889860623,1305.332653984966
7,2024-06-22,80.56765194401119,55.09075717875376,65.52342119113972,21.143527306141586,206.05021033147392,1602.6247855786464
80,2024-10-23,68.28979218001885,61.60239223068943,83.84217042359137,29.88227939380372,224.38649320184274,1230.2843212811592
33,2023-11-18,81.72039716282869,31.1258879336003,47.35139647759139,29.042847587773096,227.1238757387825,1982.7791624407732
65,2025-02-25,88.06346180416242,54.56015759616071,101.1185849931835,23.655752442198406,233.6591571270233,1591.973952696539
79,2025-05-22,75.55599844066273,29.5032734757525,74.81526456505787,37.42300462070877,227.42285409168812,1312.0957962738964
