robotic_arm_id,start_date,temperature,vibration,torque,pressure,volt,rotate,age_days,risk,label
84,2023-06-28,63.61273014096416,48.37226375327074,51.67418328091636,30.400632146888164,190.3691500255593,1360.428646742239,970,2.163497952787245,1
61,2025-05-02,66.42406266118557,48.55713299255506,59.34670383014411,25.43673408761845,223.34686997989743,1042.9283627327677,296,1.811408314442093,0
44,2024-02-12,74.0736528336341,40.50386588267915,77.72238144805604,32.81987323741388,223.73640485045425,1898.675287428489,741,2.7150356637578703,1
3,2023-07-08,79.81255654363544,46.94801980740098,46.549340159011166,35.04778418373906,220.6690377866851,1229.6686456750676,960,2.4287776933754373,1
88,2023-12-23,95.53511900021503,50.073132720750245,56.730057018483045,32.73164458630535,211.7611990164412,1438.7603443916155,792,3.1628805893909524,1
35,2023-09-29,80.83673912949453,50.97715341649324,51.51682799043483,29.281138741303568,216.5857123123308,1484.4880369697712,877,2.68669315025761,1
77,2025-04-30,80.27994278259132,55.337959073348415,60.52417367767173,32.73622377406596,238.0721850735424,1523.2926920597947,298,2.535641856741828,1
108,2025-10-04,92.41198226421632,53.3929957767497,80.22816339447965,26.67655052282507,232.7026819351455,1948.12928603204,141,3.255924200830867,1
42,2025-12-28,88.5256537659448,57.20562903626429,48.4469548412504,29.46179710187713,204.02312371840887,1625.3225840868058,56,2.2534034196664274,1
23,2025-09-13,98.42450849907928,65.0601443300407,54.09556665936552,26.172654921888352,242.73253920692937,1972.810134453255,162,3.1400080279549716,1
56,2025-09-15,70.72538203291208,76.80719318972496,83.90920585277495,26.399319396105884,230.02155635651485,1604.1777275610243,160,3.6713253641596086,1
73,2025-02-04,58.49694305507407,35.74728315310211,72.65029149674618,29.311539405478587,223.29391184298777,1194.0332131201235,383,1.5924000710264696,0
69,2025-10-01,73.77646142566603,51.35940847067405,81.38509251064887,27.88013448709994,205.73976889860623,1305.332653984966,144,2.6532229569164087,1
7,2024-06-22,80.56765194401119,55.09075717875376,65.52342119113972,21.143527306141586,206.05021033147392,1602.6247855786464,610,2.996362481204678,1
